"ActivoParaCarga","IdUnidadV1","UnidadV1","TipoUnidadV1","IdSucursalV2","SucursalV2","IdCapacidadV2","CapacidadV1","CapacidadV2","EmailUsuarioV1","IdUsuarioV2_POR_LLENAR","UsuarioV2_POR_LLENAR","IdSupervisorV1","SupervisorV1","Diagnostico"
"False","1","ADMINISTRADOR","ADMINISTRADOR","2","ADMINISTRACION","10","MARCH","MARCH","erosa@empacadorarosarito.com.mx","","","1","ADMINISTRADOR","PENDIENTE_MAPEAR_USUARIO_V2"
"False","181","APT201 ENSENADA","ALMACEN","5","ENSENADA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","30","GTEENS@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","183","APT401 HERMOSILLO","ALMACEN","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","32","GTEHER@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","182","APT301 MEXICALI","ALMACEN","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","31","GTEMXL@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","184","APT501 OBREGON","ALMACEN","6","OBREGON","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","33","GTEOBR@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","180","APT101 TIJUANA","ALMACEN","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","29","GTETIJ@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","30","GTEENS@tierosa","GERENTE SUCURSAL","5","ENSENADA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","1","ADMINISTRADOR","PENDIENTE_MAPEAR_USUARIO_V2"
"False","32","GTEHER@tierosa","GERENTE SUCURSAL","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","1","ADMINISTRADOR","PENDIENTE_MAPEAR_USUARIO_V2"
"False","31","GTEMXL@tierosa","GERENTE SUCURSAL","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","1","ADMINISTRADOR","PENDIENTE_MAPEAR_USUARIO_V2"
"False","33","GTEOBR@tierosa","GERENTE SUCURSAL","6","OBREGON","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","1","ADMINISTRADOR","PENDIENTE_MAPEAR_USUARIO_V2"
"False","29","GTETIJ@tierosa","GERENTE SUCURSAL","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","1","ADMINISTRADOR","PENDIENTE_MAPEAR_USUARIO_V2"
"False","8","SM203 ENSENADA","SUPERVISOR MODERNO","5","ENSENADA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","30","GTEENS@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","13","SM404 HERMOSILLO","SUPERVISOR MODERNO","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","32","GTEHER@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","14","SM405 HERMOSILLO","SUPERVISOR MODERNO","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","32","GTEHER@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","15","SM406 HERMOSILLO","SUPERVISOR MODERNO","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","32","GTEHER@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","9","SM303 MEXICALI","SUPERVISOR MODERNO","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","31","GTEMXL@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","10","SM304 MEXICALI","SUPERVISOR MODERNO","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","31","GTEMXL@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","11","SM305 MEXICALI","SUPERVISOR MODERNO","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","31","GTEMXL@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","12","SM306 MEXICALI","SUPERVISOR MODERNO","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","31","GTEMXL@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","16","SM503 OBREGON","SUPERVISOR MODERNO","6","OBREGON","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","33","GTEOBR@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","17","SM504 OBREGON","SUPERVISOR MODERNO","6","OBREGON","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","33","GTEOBR@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","2","SM104 TIJUANA","SUPERVISOR MODERNO","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","29","GTETIJ@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","3","SM105 TIJUANA","SUPERVISOR MODERNO","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","29","GTETIJ@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","4","SM106 TIJUANA","SUPERVISOR MODERNO","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","29","GTETIJ@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","5","SM107 TIJUANA","SUPERVISOR MODERNO","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","29","GTETIJ@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","6","SM108 TIJUANA","SUPERVISOR MODERNO","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","29","GTETIJ@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","7","SM109 TIJUANA","SUPERVISOR MODERNO","4","TIJUANA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","29","GTETIJ@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","21","ST202 ENSENADA","SUPERVISOR TRADICIONAL","5","ENSENADA","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","30","GTEENS@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","24","ST401 HERMOSILLO","SUPERVISOR TRADICIONAL","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","32","GTEHER@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","25","ST402 HERMOSILLO","SUPERVISOR TRADICIONAL","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","32","GTEHER@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","26","ST403 HERMOSILLO","SUPERVISOR TRADICIONAL","3","HERMOSILLO","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","32","GTEHER@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","22","ST301 MEXICALI","SUPERVISOR TRADICIONAL","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","31","GTEMXL@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","23","ST302 MEXICALI","SUPERVISOR TRADICIONAL","1","MEXICALI","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","31","GTEMXL@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
"False","27","ST501 OBREGON","SUPERVISOR TRADICIONAL","6","OBREGON","10","MARCH","MARCH","ti@empacadorarosarito.com.mx","","","33","GTEOBR@tierosa","PENDIENTE_MAPEAR_USUARIO_V2"
